STATIONS_ID;MESS_DATUM;  QN;FF_10;DD_10;eor
       4931;201807090000;    3;   0.4;  60;eor
       4931;201807090010;    3;   0.2; 150;eor
       4931;201807090020;    3;   0.3;  70;eor
       4931;201807090030;    3;   0.5;  90;eor
       4931;201807090040;    3;   0.5;  80;eor
       4931;201807090050;    3;   0.3;  60;eor
       4931;201807090100;    3;   0.4;  60;eor
       4931;201807090110;    3;   0.4; 140;eor
       4931;201807090120;    3;   0.4; 270;eor
       4931;201807090130;    3;   0.4; 280;eor
       4931;201807090140;    3;   0.3; 360;eor
       4931;201807090150;    3;   0.4; 360;eor
       4931;201807090200;    3;   0.2; 140;eor
       4931;201807090210;    3;   0.3; 180;eor
       4931;201807090220;    3;   0.5; 170;eor
       4931;201807090230;    3;   0.4; 100;eor
       4931;201807090240;    3;   0.5; 110;eor
       4931;201807090250;    3;   0.2; 120;eor
       4931;201807090300;    3;   0.1;  60;eor
       4931;201807090310;    3;   0.4; 350;eor
       4931;201807090320;    3;   0.5;  10;eor
       4931;201807090330;    3;   0.5; 340;eor
       4931;201807090340;    3;   0.5; 310;eor
       4931;201807090350;    3;   1.1; 320;eor
       4931;201807090400;    3;   0.6; 340;eor
       4931;201807090410;    3;   0.5;  50;eor
       4931;201807090420;    3;   0.7; 110;eor
       4931;201807090430;    3;   0.6; 100;eor
       4931;201807090440;    3;   0.8;  80;eor
       4931;201807090450;    3;   0.9;  80;eor
       4931;201807090500;    3;   0.6;  80;eor
       4931;201807090510;    3;   0.9;  60;eor
       4931;201807090520;    3;   0.9;  70;eor
       4931;201807090530;    3;   1.1;  70;eor
       4931;201807090540;    3;   1.1;  80;eor
       4931;201807090550;    3;   1.3;  60;eor
       4931;201807090600;    3;   1.1;  70;eor
       4931;201807090610;    3;   1.2;  60;eor
       4931;201807090620;    3;   0.9;  50;eor
       4931;201807090630;    3;   0.9; 100;eor
       4931;201807090640;    3;   1.0;  60;eor
       4931;201807090650;    3;   0.9;  60;eor
       4931;201807090700;    3;   0.8;  50;eor
       4931;201807090710;    3;   1.0;  80;eor
       4931;201807090720;    3;   0.7; 170;eor
       4931;201807090730;    3;   1.0;  70;eor
