STATIONS_ID;MESS_DATUM;  QN;FF_10;DD_10;eor
       4928;202001100000;    2;   2.4; 220;eor
       4928;202001100010;    2;   2.3; 210;eor
       4928;202001100020;    2;   2.5; 210;eor
       4928;202001100030;    2;   3.3; 190;eor
       4928;202001100040;    2;   3.3; 200;eor
       4928;202001100050;    2;   2.9; 200;eor
       4928;202001100100;    2;   3.2; 190;eor
       4928;202001100110;    2;   3.1; 190;eor
       4928;202001100120;    2;   2.9; 180;eor
       4928;202001100130;    2;   3.6; 180;eor
       4928;202001100140;    2;   3.4; 180;eor
       4928;202001100150;    2;   3.7; 200;eor
       4928;202001100200;    2;   3.7; 210;eor
       4928;202001100210;    2;   3.7; 210;eor
       4928;202001100220;    2;   3.3; 200;eor
       4928;202001100230;    2;   3.3; 210;eor
       4928;202001100240;    2;   2.7; 230;eor
       4928;202001100250;    2;   2.4; 220;eor
       4928;202001100300;    2;   2.4; 220;eor
       4928;202001100310;    2;   3.1; 210;eor
       4928;202001100320;    2;   3.1; 200;eor
       4928;202001100330;    2;   3.1; 190;eor
       4928;202001100340;    2;   3.2; 190;eor
       4928;202001100350;    2;   3.0; 200;eor
       4928;202001100400;    2;   3.2; 200;eor
       4928;202001100410;    2;   3.2; 220;eor
       4928;202001100420;    2;   3.3; 210;eor
       4928;202001100430;    2;   3.4; 220;eor
       4928;202001100440;    2;   3.7; 210;eor
       4928;202001100450;    2;   4.6; 210;eor
       4928;202001100500;    2;   4.6; 220;eor
       4928;202001100510;    2;   4.6; 220;eor
       4928;202001100520;    2;   4.6; 210;eor
       4928;202001100530;    2;   4.8; 210;eor
       4928;202001100540;    2;   4.7; 210;eor
       4928;202001100550;    2;   4.4; 210;eor
       4928;202001100600;    2;   4.8; 210;eor
       4928;202001100610;    2;   4.3; 200;eor
       4928;202001100620;    2;   3.8; 200;eor
       4928;202001100630;    2;   4.2; 190;eor
       4928;202001100640;    2;   4.1; 180;eor
       4928;202001100650;    2;   4.0; 190;eor
       4928;202001100700;    2;   4.5; 190;eor
       4928;202001100710;    2;   4.5; 190;eor
       4928;202001100720;    2;   4.0; 200;eor
       4928;202001100730;    2;   4.1; 200;eor
       4928;202001100740;    2;   4.2; 200;eor
       4928;202001100750;    2;   3.9; 190;eor
       4928;202001100800;    2;   4.0; 190;eor
       4928;202001100810;    2;   3.9; 190;eor
       4928;202001100820;    2;   3.9; 190;eor
       4928;202001100830;    2;   3.9; 190;eor
       4928;202001100840;    2;   4.1; 200;eor
       4928;202001100850;    2;   4.0; 200;eor
       4928;202001100900;    2;   3.6; 200;eor
       4928;202001100910;    2;   3.3; 200;eor
       4928;202001100920;    2;   3.3; 190;eor
       4928;202001100930;    2;   3.9; 190;eor
       4928;202001100940;    2;   3.6; 200;eor
       4928;202001100950;    2;   3.2; 210;eor
       4928;202001101000;    2;   3.9; 220;eor
       4928;202001101010;    2;   3.3; 210;eor
       4928;202001101020;    2;   4.3; 210;eor
       4928;202001101030;    2;   4.0; 220;eor
       4928;202001101040;    2;   3.6; 220;eor
       4928;202001101050;    2;   4.3; 240;eor
       4928;202001101100;    2;   3.7; 230;eor
       4928;202001101110;    2;   3.4; 230;eor
       4928;202001101120;    2;   4.5; 250;eor
       4928;202001101130;    2;   4.2; 250;eor
       4928;202001101140;    2;   5.0; 240;eor
       4928;202001101150;    2;   6.2; 260;eor
       4928;202001101200;    2;   6.2; 260;eor
       4928;202001101210;    2;   4.8; 250;eor
       4928;202001101220;    2;   5.8; 270;eor
       4928;202001101230;    2;   5.9; 260;eor
       4928;202001101240;    2;   5.5; 260;eor
       4928;202001101250;    2;   4.7; 250;eor
       4928;202001101300;    2;   5.8; 250;eor
       4928;202001101310;    2;   5.2; 250;eor
       4928;202001101320;    2;   5.6; 250;eor
       4928;202001101330;    2;   4.8; 270;eor
       4928;202001101340;    2;   4.8; 270;eor
       4928;202001101350;    2;   6.4; 260;eor
       4928;202001101400;    2;   5.2; 260;eor
       4928;202001101410;    2;   5.6; 250;eor
       4928;202001101420;    2;   6.2; 260;eor
       4928;202001101430;    2;   4.8; 260;eor
       4928;202001101440;    2;   4.7; 260;eor
       4928;202001101450;    2;   4.4; 270;eor
       4928;202001101500;    2;   5.4; 250;eor
       4928;202001101510;    2;   4.2; 240;eor
       4928;202001101520;    2;   4.1; 260;eor
       4928;202001101530;    2;   3.6; 240;eor
       4928;202001101540;    2;   2.6; 240;eor
       4928;202001101550;    2;   3.1; 250;eor
       4928;202001101600;    2;   2.9; 230;eor
       4928;202001101610;    2;   3.5; 240;eor
       4928;202001101620;    2;   3.1; 250;eor
       4928;202001101630;    2;   2.7; 240;eor
       4928;202001101640;    2;   2.7; 250;eor
       4928;202001101650;    2;   2.7; 240;eor
       4928;202001101700;    2;   2.7; 270;eor
       4928;202001101710;    2;   4.3; 290;eor
       4928;202001101720;    2;   4.1; 270;eor
       4928;202001101730;    2;   4.4; 270;eor
       4928;202001101740;    2;   5.7; 270;eor
       4928;202001101750;    2;   6.1; 280;eor
       4928;202001101800;    2;   6.2; 280;eor
       4928;202001101810;    2;   6.7; 300;eor
       4928;202001101820;    2;   9.0; 300;eor
       4928;202001101830;    2;   7.2; 300;eor
       4928;202001101840;    2;   5.3; 300;eor
       4928;202001101850;    2;   4.0; 290;eor
