STATIONS_ID;MESS_DATUM;  QN;FF_10;DD_10;eor
       4931;202001080000;    2;   0.6; 260;eor
       4931;202001080010;    2;   1.4; 230;eor
       4931;202001080020;    2;   1.6; 220;eor
       4931;202001080030;    2;   1.4; 240;eor
       4931;202001080040;    2;   2.1; 250;eor
       4931;202001080050;    2;   3.4; 260;eor
       4931;202001080100;    2;   2.5; 250;eor
       4931;202001080110;    2;   1.5; 260;eor
       4931;202001080120;    2;   0.9; 190;eor
       4931;202001080130;    2;   0.7; 240;eor
       4931;202001080140;    2;   0.6; 210;eor
       4931;202001080150;    2;   0.8; 150;eor
       4931;202001080200;    2;   1.0; 200;eor
       4931;202001080210;    2;   1.0; 200;eor
       4931;202001080220;    2;   1.0; 120;eor
       4931;202001080230;    2;   1.1; 100;eor
       4931;202001080240;    2;   0.9;  50;eor
       4931;202001080250;    2;   1.3;  80;eor
       4931;202001080300;    2;   1.5; 120;eor
       4931;202001080310;    2;   1.2; 130;eor
       4931;202001080320;    2;   0.6;  60;eor
       4931;202001080330;    2;   0.8;  90;eor
       4931;202001080340;    2;   0.9; 100;eor
       4931;202001080350;    2;   1.0;  90;eor
       4931;202001080400;    2;   1.8; 130;eor
       4931;202001080410;    2;   0.9; 130;eor
       4931;202001080420;    2;   0.7;  60;eor
       4931;202001080430;    2;   1.1; 100;eor
       4931;202001080440;    2;   0.9; 240;eor
       4931;202001080450;    2;   0.8; 350;eor
       4931;202001080500;    2;   0.5;  70;eor
       4931;202001080510;    2;   0.9;  60;eor
       4931;202001080520;    2;   0.9;  90;eor
       4931;202001080530;    2;   1.3; 110;eor
       4931;202001080540;    2;   1.2;  60;eor
       4931;202001080550;    2;   1.6;  60;eor
       4931;202001080600;    2;   1.6; 100;eor
       4931;202001080610;    2;   1.4; 110;eor
       4931;202001080620;    2;   1.1;  80;eor
       4931;202001080630;    2;   1.0;  50;eor
       4931;202001080640;    2;   0.9; 310;eor
       4931;202001080650;    2;   0.8;  10;eor
       4931;202001080700;    2;   0.8; 350;eor
       4931;202001080710;    2;   1.4; 350;eor
       4931;202001080720;    2;   1.0;  50;eor
       4931;202001080730;    2;   1.3;  50;eor
       4931;202001080740;    2;   1.1;  70;eor
       4931;202001080750;    2;   0.9; 100;eor
       4931;202001080800;    2;   0.8;  90;eor
       4931;202001080810;    2;   0.6; 100;eor
       4931;202001080820;    2;   0.9; 100;eor
       4931;202001080830;    2;   1.0;  70;eor
       4931;202001080840;    2;   0.3;  60;eor
       4931;202001080850;    2;   0.8;  50;eor
       4931;202001080900;    2;   1.7;  80;eor
       4931;202001080910;    2;   1.6; 100;eor
       4931;202001080920;    2;   1.1; 110;eor
       4931;202001080930;    2;   0.9; 140;eor
       4931;202001080940;    2;   1.0; 160;eor
       4931;202001080950;    2;   1.5; 120;eor
       4931;202001081000;    2;   2.3;  80;eor
       4931;202001081010;    2;   1.9;  80;eor
       4931;202001081020;    2;   1.5; 110;eor
       4931;202001081030;    2;   0.6;  80;eor
       4931;202001081040;    2;   0.7;  70;eor
       4931;202001081050;    2;   1.2;  50;eor
       4931;202001081100;    2;   1.4;  40;eor
       4931;202001081110;    2;   1.5;  50;eor
       4931;202001081120;    2;   1.3;  40;eor
       4931;202001081130;    2;   0.9;  60;eor
       4931;202001081140;    2;   0.8;  60;eor
       4931;202001081150;    2;   1.5;  60;eor
       4931;202001081200;    2;   1.6;  50;eor
       4931;202001081210;    2;   1.6;  30;eor
       4931;202001081220;    2;   1.1;  50;eor
       4931;202001081230;    2;   1.5;  50;eor
       4931;202001081240;    2;   1.6;  50;eor
       4931;202001081250;    2;   1.2;  50;eor
       4931;202001081300;    2;   1.1;  30;eor
       4931;202001081310;    2;   1.0;  10;eor
       4931;202001081320;    2;   1.0;  50;eor
       4931;202001081330;    2;   0.8;  50;eor
       4931;202001081340;    2;   1.0;  60;eor
       4931;202001081350;    2;   1.4;  70;eor
       4931;202001081400;    2;   1.1;  90;eor
       4931;202001081410;    2;   1.1;  60;eor
       4931;202001081420;    2;   1.8;  50;eor
       4931;202001081430;    2;   1.7;  70;eor
       4931;202001081440;    2;   1.5;  80;eor
       4931;202001081450;    2;   1.7;  80;eor
       4931;202001081500;    2;   1.3;  50;eor
       4931;202001081510;    2;   1.8;  30;eor
       4931;202001081520;    2;   1.4;  40;eor
       4931;202001081530;    2;   1.4;  50;eor
       4931;202001081540;    2;   1.5;  30;eor
       4931;202001081550;    2;   1.5;  40;eor
       4931;202001081600;    2;   1.0;  50;eor
       4931;202001081610;    2;   0.7;  50;eor
       4931;202001081620;    2;   1.0;  40;eor
